Dataset,FCM_R,KFCM,CFCM,csiFCM
ceramic,0.0557970149520791,0.001019645373278,0.0267345956643958,0.0438082142537083
crowdsourced,0.0002394339099424,6.409183975253355e-05,0.0022720201533906,0.0013342520657698
ecoli,0.0008048493920386,7.792344325325576e-05,0.0023666015501618,0.0030493325177562
glass,0.0038146641594029,0.0001978725249633,0.0036642434976992,0.0031141786483805
iris,0.0391383606242434,0.0379543500702776,0.0215187215794604,0.0348032374838679
wdbc,0.0105323680687166,3.2385027865462314e-05,0.0268015897714493,0.0746610954934
wine,0.016300309092921,0.0003097255596013,0.0155163304437148,0.0173931790519655
winequality-red,0.0036354545653671,0.0004172389601586,0.0019454507691345,0.001517045528435
winequality-white,0.0017232082075806445,1.80230366432128e-05,0.0010350937051799565,0.0008822354336266025
yeast,5.156639971399337e-06,0.0006421443962849,0.0008362045983345,0.0014285497161267
optdigits,3.762843500239729e-05,3.0860632456194444e-05,3.595948883686207e-05,3.4083129961426872e-05
